class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-colorr-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
e,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2
e,2,1,3,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,3
p,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
e,1,1,4,2,4,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,3,2
e,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2
e,2,1,3,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,2,3
e,2,2,3,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,3
p,1,2,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,2
e,2,1,2,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,3
e,1,2,2,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,2,2,2
e,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,3
e,2,1,2,1,2,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,1,2
p,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1
e,1,3,1,2,4,1,2,2,2,2,1,1,2,1,1,1,1,1,2,1,3,2
e,3,3,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1
e,4,3,3,2,4,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,3,2
p,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2
p,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1
p,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
e,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,3
p,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,4,2
e,2,2,2,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,3
e,2,2,3,1,2,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,2,3
e,2,1,3,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,3
p,4,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,4,2
e,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,3
e,1,2,3,1,3,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,2,3
e,4,3,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
e,1,1,2,1,2,1,2,1,2,2,3,1,1,1,1,1,1,1,1,2,4,5
e,2,1,2,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,2,2,3
p,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
e,1,2,2,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,3
e,1,2,1,1,3,1,1,2,4,1,4,1,3,1,1,1,1,1,1,2,5,4
e,2,2,2,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,3
e,1,3,2,1,3,1,2,1,5,2,3,1,1,1,1,1,1,1,1,2,4,5
e,3,3,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1
p,1,2,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,2,1,1
e,1,3,2,1,2,1,2,1,4,2,3,1,1,1,1,1,1,1,1,2,4,5
e,2,1,2,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,3
e,2,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2
e,1,2,2,1,3,1,1,2,2,1,4,1,3,1,1,1,1,1,1,1,5,4
e,1,3,1,2,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,5,1
p,1,2,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,4,2
